Rodada,ID,Nome,Clube,Posição,Mandante_Visitante,Adversário,Pontuação,Status_ID,FD,FS,CA,FC,DS,FF,SG,A,G,I,DE,GS,V,PC,DP,CV,FT,PP,PS,GC
2,98619,Kuscevic,FOR,Zagueiro,visitante,MIR,2.1,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,98672,Savarino,BOT,Meia,mandante,JUV,2.8,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,98909,Cuello,CAM,Atacante,mandante,SAO,0.5,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,98975,Rogel,INT,Zagueiro,mandante,CRU,6.2,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,99032,Lourenço,CEA,Meia,mandante,GRE,2.3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,99198,Vegetti,VAS,Atacante,visitante,COR,3.1,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2,99213,Puma Rodríguez,VAS,Lateral,visitante,COR,2.5,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,99228,De la Cruz,FLA,Meia,visitante,VIT,3.5,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,99253,Chico,SPT,Zagueiro,mandante,PAL,1.2,0,0,1,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2,99274,Alexander Barboza,BOT,Zagueiro,mandante,JUV,8.2,0,0,0,1,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,99366,Luis Zubeldía,SAO,Técnico,visitante,CAM,6.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,99392,Michael,FLA,Atacante,visitante,VIT,-0.3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,99440,Baralhas,VIT,Meia,mandante,FLA,6.0,0,0,2,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,99552,Rossi,FLA,Goleiro,visitante,VIT,1.6,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
2,99815,Arias,FLU,Meia,mandante,RBB,2.0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,99889,Alan Franco,SAO,Zagueiro,visitante,CAM,4.3,0,0,2,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
3,100084,Igor Gomes,CAM,Meia,mandante,VIT,8.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3,100652,Yuri Alberto,COR,Atacante,visitante,PAL,0.0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,100830,Brenno,FOR,Goleiro,mandante,INT,-3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3,100842,Ruan,SAO,Zagueiro,mandante,CRU,2.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,100846,Lucas Esteves,GRE,Lateral,mandante,FLA,1.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,100898,Vitinho,BOT,Lateral,visitante,RBB,1.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,101027,Diego,CEA,Lateral,visitante,JUV,4.0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,101290,Ferreira,SAO,Atacante,mandante,CRU,15.7,0,0,3,0,0,2,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3,101314,Ademir,BAH,Atacante,mandante,MIR,2.0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,101573,Pepê,VIT,Meia,visitante,CAM,3.5,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,101594,Hugo Moura,VAS,Meia,mandante,SPT,-3.4,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,101597,Ramon,INT,Lateral,visitante,FOR,5.7,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,101727,Matheuzinho,COR,Lateral,visitante,PAL,5.2,0,0,0,1,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,101752,Claudinho,VIT,Lateral,visitante,CAM,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,101908,Willian Machado,CEA,Zagueiro,visitante,JUV,3.2,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,101960,Vitinho,INT,Atacante,visitante,FOR,1.1,0,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,102130,Piquerez,PAL,Lateral,mandante,COR,13.2,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
3,102253,Lucas Halter,VIT,Zagueiro,visitante,CAM,8.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
